No,Search
1,"Trilogia Live Bar, Medellin, Antioquia, Colombia"
2,"Dulce Jesús Mío, Medellin, Antioquia, Colombia"
3,"Kukaramakara Medellín, Medellin, Antioquia, Colombia"
4,"Cervecería Libre, Medellin, Antioquia, Colombia"
5,"Altagracia Café-Bar, Medellin, Antioquia, Colombia"
6,"Pub Rock Medellin, Medellin, Antioquia, Colombia"
7,"Mojito Bar Medellín, Medellin, Antioquia, Colombia"
8,"Rock Café Dalí, Medellin, Antioquia, Colombia"
9,"Son Havana, Medellin, Antioquia, Colombia"
10,"Salon Malaga, Medellin, Antioquia, Colombia"
11,"Rock Cafe Dali, Medellin, Antioquia, Colombia"
12,"Donde Aquellos Bar, Medellin, Antioquia, Colombia"
13,"El Indio Bar, Medellin, Antioquia, Colombia"
14,"Gusto Night Club Medellín, Medellin, Antioquia, Colombia"
15,"El Pub de Octavia, Medellin, Antioquia, Colombia"
16,"La Selecta, Medellin, Antioquia, Colombia"
17,"Discoteca Koko Bongo, Medellin, Antioquia, Colombia"
18,"Vintrash Bar, Medellin, Antioquia, Colombia"
19,"Café El Club del Jazz, Medellin, Antioquia, Colombia"
20,"Amarna Discoteca, Medellin, Antioquia, Colombia"
21,"La Tremenda, Medellin, Antioquia, Colombia"
22,"Purple! Club, Medellin, Antioquia, Colombia"
23,"Deus Cafe Bar, Medellin, Antioquia, Colombia"
24,"Mansion Club, Medellin, Antioquia, Colombia"
25,"Discoteca V.I.P, Medellin, Antioquia, Colombia"
26,"La Cantina de Javi, Medellin, Antioquia, Colombia"
27,"Madam By Carito, Medellin, Antioquia, Colombia"
28,"Tortugos, Medellin, Antioquia, Colombia"
29,"Oye Bonita, Medellin, Antioquia, Colombia"
30,"Casa de Asterion Medellin, Medellin, Antioquia, Colombia"
31,"La Oficina, Medellin, Antioquia, Colombia"
32,"Envy Club, Medellin, Antioquia, Colombia"
33,"California club, Medellin, Antioquia, Colombia"
34,"Skyview, Medellin, Antioquia, Colombia"
35,"Buena Vista, Medellin, Antioquia, Colombia"
36,"Spazio44, Medellin, Antioquia, Colombia"
37,"Nevermind Bar, Medellin, Antioquia, Colombia"