City#,CityId,Query
1,1010001,"El Encanto, Amazonas, Colombia"
2,1010002,"La Chorrera, Amazonas, Colombia"
3,1010003,"La Pedrera, Amazonas, Colombia"
4,1010004,"La Victoria, Amazonas, Colombia"
5,1010005,"Leticia, Amazonas, Colombia"
6,1010006,"Mirití-Paraná, Amazonas, Colombia"
7,1010007,"Puerto Alegría, Amazonas, Colombia"
8,1010008,"Puerto Arica, Amazonas, Colombia"
9,1010009,"Puerto Nariño, Amazonas, Colombia"
10,1010010,"Puerto Santander, Amazonas, Colombia"
11,1010011,"Tarapacá, Amazonas, Colombia"
12,1020012,"Cáceres, Antioquia, Colombia"
13,1020013,"Caucasia, Antioquia, Colombia"
14,1020014,"El Bagre, Antioquia, Colombia"
15,1020015,"Nechí, Antioquia, Colombia"
16,1020016,"Tarazá, Antioquia, Colombia"
17,1020017,"Zaragoza, Antioquia, Colombia"
18,1020018,"Caracolí, Antioquia, Colombia"
19,1020019,"Maceo, Antioquia, Colombia"
20,1020020,"Puerto Berrío, Antioquia, Colombia"
21,1020021,"Puerto Nare, Antioquia, Colombia"
22,1020022,"Puerto Triunfo, Antioquia, Colombia"
23,1020023,"Yondó, Antioquia, Colombia"
24,1020024,"Amalfi, Antioquia, Colombia"
25,1020025,"Anorí, Antioquia, Colombia"
26,1020026,"Cisneros, Antioquia, Colombia"
27,1020027,"Remedios, Antioquia, Colombia"
28,1020028,"San Roque, Antioquia, Colombia"
29,1020029,"Santo Domingo, Antioquia, Colombia"
30,1020030,"Segovia, Antioquia, Colombia"
31,1020031,"Vegachí, Antioquia, Colombia"
32,1020032,"Yalí, Antioquia, Colombia"
33,1020033,"Yolombó, Antioquia, Colombia"
34,1020034,"Angostura, Antioquia, Colombia"
35,1020035,"Belmira, Antioquia, Colombia"
36,1020036,"Briceño, Antioquia, Colombia"
37,1020037,"Campamento, Antioquia, Colombia"
38,1020038,"Carolina del Príncipe, Antioquia, Colombia"
39,1020039,"Donmatías, Antioquia, Colombia"
40,1020040,"Entrerríos, Antioquia, Colombia"
41,1020041,"Gómez Plata, Antioquia, Colombia"
42,1020042,"Guadalupe, Antioquia, Colombia"
43,1020043,"Ituango, Antioquia, Colombia"
44,1020044,"San Andrés de Cuerquia, Antioquia, Colombia"
45,1020045,"San José de la Montaña, Antioquia, Colombia"
46,1020046,"San Pedro de los Milagros, Antioquia, Colombia"
47,1020047,"Santa Rosa de Osos, Antioquia, Colombia"
48,1020048,"Toledo, Antioquia, Colombia"
49,1020049,"Valdivia, Antioquia, Colombia"
50,1020050,"Yarumal, Antioquia, Colombia"
51,1020051,"Abriaquí, Antioquia, Colombia"
52,1020052,"Antioquia, Antioquia, Colombia"
53,1020053,"Anzá, Antioquia, Colombia"
54,1020054,"Armenia, Antioquia, Colombia"
55,1020055,"Buriticá, Antioquia, Colombia"
56,1020056,"Caicedo, Antioquia, Colombia"
57,1020057,"Cañasgordas, Antioquia, Colombia"
58,1020058,"Dabeiba, Antioquia, Colombia"
59,1020059,"Ebéjico, Antioquia, Colombia"
60,1020060,"Frontino, Antioquia, Colombia"
61,1020061,"Giraldo, Antioquia, Colombia"
62,1020062,"Heliconia, Antioquia, Colombia"
63,1020063,"Liborina, Antioquia, Colombia"
64,1020064,"Olaya, Antioquia, Colombia"
65,1020065,"Peque, Antioquia, Colombia"
66,1020066,"Sabanalarga, Antioquia, Colombia"
67,1020067,"San Jerónimo, Antioquia, Colombia"
68,1020068,"Sopetrán, Antioquia, Colombia"
69,1020069,"Uramita, Antioquia, Colombia"
70,1020070,"Abejorral, Antioquia, Colombia"
71,1020071,"Alejandría, Antioquia, Colombia"
72,1020072,"Argelia, Antioquia, Colombia"
73,1020073,"Carmen de Viboral, Antioquia, Colombia"
74,1020074,"Cocorná, Antioquia, Colombia"
75,1020075,"Concepción, Antioquia, Colombia"
76,1020076,"El Peñol, Antioquia, Colombia"
77,1020077,"El Retiro, Antioquia, Colombia"
78,1020078,"El Santuario, Antioquia, Colombia"
79,1020079,"Granada, Antioquia, Colombia"
80,1020080,"Guarne, Antioquia, Colombia"
81,1020081,"Guatapé, Antioquia, Colombia"
82,1020082,"La Ceja, Antioquia, Colombia"
83,1020083,"La Unión, Antioquia, Colombia"
84,1020084,"Marinilla, Antioquia, Colombia"
85,1020085,"Nariño, Antioquia, Colombia"
86,1020086,"Rionegro, Antioquia, Colombia"
87,1020087,"San Carlos, Antioquia, Colombia"
88,1020088,"San Francisco, Antioquia, Colombia"
89,1020089,"San Luis, Antioquia, Colombia"
90,1020090,"San Rafael, Antioquia, Colombia"
91,1020091,"San Vicente, Antioquia, Colombia"
92,1020092,"Sonsón, Antioquia, Colombia"
93,1020093,"Amagá, Antioquia, Colombia"
94,1020094,"Andes, Antioquia, Colombia"
95,1020095,"Angelópolis, Antioquia, Colombia"
96,1020096,"Betania, Antioquia, Colombia"
97,1020097,"Betulia, Antioquia, Colombia"
98,1020098,"Caramanta, Antioquia, Colombia"
99,1020099,"Ciudad Bolívar, Antioquia, Colombia"
100,1020100,"Concordia, Antioquia, Colombia"
101,1020101,"Fredonia, Antioquia, Colombia"
102,1020102,"Hispania, Antioquia, Colombia"
103,1020103,"Jardín, Antioquia, Colombia"
104,1020104,"Jericó, Antioquia, Colombia"
105,1020105,"La Pintada, Antioquia, Colombia"
106,1020106,"Montebello, Antioquia, Colombia"
107,1020107,"Pueblorrico, Antioquia, Colombia"
108,1020108,"Salgar, Antioquia, Colombia"
109,1020109,"Santa Bárbara, Antioquia, Colombia"
110,1020110,"Támesis, Antioquia, Colombia"
111,1020111,"Tarso, Antioquia, Colombia"
112,1020112,"Titiribí, Antioquia, Colombia"
113,1020113,"Urrao, Antioquia, Colombia"
114,1020114,"Valparaíso, Antioquia, Colombia"
115,1020115,"Venecia, Antioquia, Colombia"
116,1020116,"Apartadó, Antioquia, Colombia"
117,1020117,"Arboletes, Antioquia, Colombia"
118,1020118,"Carepa, Antioquia, Colombia"
119,1020119,"Chigorodó, Antioquia, Colombia"
120,1020120,"Murindó, Antioquia, Colombia"
121,1020121,"Mutatá, Antioquia, Colombia"
122,1020122,"Necoclí, Antioquia, Colombia"
123,1020123,"San Juan de Urabá, Antioquia, Colombia"
124,1020124,"San Pedro de Urabá, Antioquia, Colombia"
125,1020125,"Turbo, Antioquia, Colombia"
126,1020126,"Vigía del Fuerte, Antioquia, Colombia"
127,1020127,"Barbosa, Antioquia, Colombia"
128,1020128,"Bello, Antioquia, Colombia"
129,1020129,"Caldas, Antioquia, Colombia"
130,1020130,"Copacabana, Antioquia, Colombia"
131,1020131,"Envigado, Antioquia, Colombia"
132,1020132,"Girardota, Antioquia, Colombia"
133,1020133,"Itagüí, Antioquia, Colombia"
134,1020134,"La Estrella, Antioquia, Colombia"
135,1020135,"Medellín, Antioquia, Colombia"
136,1020136,"Sabaneta, Antioquia, Colombia"
137,1030137,"Arauca, Arauca, Colombia"
138,1030138,"Arauquita, Arauca, Colombia"
139,1030139,"Cravo Norte, Arauca, Colombia"
140,1030140,"Fortul, Arauca, Colombia"
141,1030141,"Puerto Rondón, Arauca, Colombia"
142,1030142,"Saravena, Arauca, Colombia"
143,1030143,"Tame, Arauca, Colombia"
144,1040144,"Baranoa, Atlántico, Colombia"
145,1040145,"Barranquilla, Atlántico, Colombia"
146,1040146,"Campo de la Cruz, Atlántico, Colombia"
147,1040147,"Candelaria, Atlántico, Colombia"
148,1040148,"Galapa, Atlántico, Colombia"
149,1040149,"Juan de Acosta, Atlántico, Colombia"
150,1040150,"Luruaco, Atlántico, Colombia"
151,1040151,"Malambo, Atlántico, Colombia"
152,1040152,"Manatí, Atlántico, Colombia"
153,1040153,"Palmar de Varela, Atlántico, Colombia"
154,1040154,"Piojó, Atlántico, Colombia"
155,1040155,"Polonuevo, Atlántico, Colombia"
156,1040156,"Ponedera, Atlántico, Colombia"
157,1040157,"Puerto Colombia, Atlántico, Colombia"
158,1040158,"Repelón, Atlántico, Colombia"
159,1040159,"Sabanagrande, Atlántico, Colombia"
160,1040160,"Sabanalarga, Atlántico, Colombia"
161,1040161,"Santa Lucía, Atlántico, Colombia"
162,1040162,"Santo Tomás, Atlántico, Colombia"
163,1040163,"Soledad, Atlántico, Colombia"
164,1040164,"Suán, Atlántico, Colombia"
165,1040165,"Tubará, Atlántico, Colombia"
166,1040166,"Usiacurí, Atlántico, Colombia"
167,1050167,"Ayapel, Cordoba, Colombia"
168,1050168,"Buenavista, Cordoba, Colombia"
169,1050169,"Canalete, Cordoba, Colombia"
170,1050170,"Cereté, Cordoba, Colombia"
171,1050171,"Chimá, Cordoba, Colombia"
172,1050172,"Chinú, Cordoba, Colombia"
173,1050173,"Ciénaga de Oro, Cordoba, Colombia"
174,1050174,"Cotorra, Cordoba, Colombia"
175,1050175,"La Apartada, Cordoba, Colombia"
176,1050176,"Los Córdobas, Cordoba, Colombia"
177,1050177,"Momil, Cordoba, Colombia"
178,1050178,"Montelíbano, Cordoba, Colombia"
179,1050179,"Montería, Cordoba, Colombia"
180,1050180,"Moñitos, Cordoba, Colombia"
181,1050181,"Planeta Rica, Cordoba, Colombia"
182,1050182,"Pueblo Nuevo, Cordoba, Colombia"
183,1050183,"Puerto Escondido, Cordoba, Colombia"
184,1050184,"Puerto Libertador, Cordoba, Colombia"
185,1050185,"Purísima, Cordoba, Colombia"
186,1050186,"Sahagún, Cordoba, Colombia"
187,1050187,"San Andrés de Sotavento, Cordoba, Colombia"
188,1050188,"San Antero, Cordoba, Colombia"
189,1050189,"San Bernardo del Viento, Cordoba, Colombia"
190,1050190,"San Carlos, Cordoba, Colombia"
191,1050191,"San José de Uré, Cordoba, Colombia"
192,1050192,"San Pelayo, Cordoba, Colombia"
193,1050193,"Santa Cruz de Lorica, Cordoba, Colombia"
194,1050194,"Tierralta, Cordoba, Colombia"
195,1050195,"Tuchín, Cordoba, Colombia"
196,1050196,"Valencia, Cordoba, Colombia"
197,1060197,"Bogotá, Bogotá D.C., Colombia"
198,1070198,"Achí, Bolivar, Colombia"
199,1070199,"Altos del Rosario, Bolivar, Colombia"
200,1070200,"Arenal, Bolivar, Colombia"
201,1070201,"Arjona, Bolivar, Colombia"
202,1070202,"Arroyohondo, Bolivar, Colombia"
203,1070203,"Barranco de Loba, Bolivar, Colombia"
204,1070204,"Calamar, Bolivar, Colombia"
205,1070205,"Cantagallo, Bolivar, Colombia"
206,1070206,"El Carmen de Bolívar, Bolivar, Colombia"
207,1070207,"Cartagena de Indias, Bolivar, Colombia"
208,1070208,"Cicuco, Bolivar, Colombia"
209,1070209,"Clemencia, Bolivar, Colombia"
210,1070210,"Córdoba, Bolivar, Colombia"
211,1070211,"El Guamo, Bolivar, Colombia"
212,1070212,"El Peñón, Bolivar, Colombia"
213,1070213,"Hatillo de Loba, Bolivar, Colombia"
214,1070214,"Magangué, Bolivar, Colombia"
215,1070215,"Mahates, Bolivar, Colombia"
216,1070216,"Margarita, Bolivar, Colombia"
217,1070217,"María La Baja, Bolivar, Colombia"
218,1070218,"Montecristo, Bolivar, Colombia"
219,1070219,"Morales, Bolivar, Colombia"
220,1070220,"Norosí, Bolivar, Colombia"
221,1070221,"Pinillos, Bolivar, Colombia"
222,1070222,"Regidor, Bolivar, Colombia"
223,1070223,"Río Viejo, Bolivar, Colombia"
224,1070224,"San Cristóbal, Bolivar, Colombia"
225,1070225,"San Estanislao, Bolivar, Colombia"
226,1070226,"San Fernando, Bolivar, Colombia"
227,1070227,"San Jacinto, Bolivar, Colombia"
228,1070228,"San Jacinto del Cauca, Bolivar, Colombia"
229,1070229,"San Juan Nepomuceno, Bolivar, Colombia"
230,1070230,"San Martín de Loba, Bolivar, Colombia"
231,1070231,"San Pablo, Bolivar, Colombia"
232,1070232,"Santa Catalina, Bolivar, Colombia"
233,1070233,"Santa Cruz de Mompox, Bolivar, Colombia"
234,1070234,"Santa Rosa, Bolivar, Colombia"
235,1070235,"Santa Rosa del Sur, Bolivar, Colombia"
236,1070236,"Simití, Bolivar, Colombia"
237,1070237,"Soplaviento, Bolivar, Colombia"
238,1070238,"Talaigua Nuevo, Bolivar, Colombia"
239,1070239,"Tiquisio, Bolivar, Colombia"
240,1070240,"Turbaco, Bolivar, Colombia"
241,1080241,"Chíquiza, Boyacá, Colombia"
242,1080242,"Chivatá, Boyacá, Colombia"
243,1080243,"Cómbita, Boyacá, Colombia"
244,1080244,"Cucaita, Boyacá, Colombia"
245,1080245,"Motavita, Boyacá, Colombia"
246,1080246,"Oicatá, Boyacá, Colombia"
247,1080247,"Samacá, Boyacá, Colombia"
248,1080248,"Siachoque, Boyacá, Colombia"
249,1080249,"Sora, Boyacá, Colombia"
250,1080250,"Soracá, Boyacá, Colombia"
251,1080251,"Sotaquirá, Boyacá, Colombia"
252,1080252,"Toca, Boyacá, Colombia"
253,1080253,"Tunja, Boyacá, Colombia"
254,1080254,"Tuta, Boyacá, Colombia"
255,1080255,"Ventaquemada, Boyacá, Colombia"
256,1080256,"Chiscas, Boyacá, Colombia"
257,1080257,"El Cocuy, Boyacá, Colombia"
258,1080258,"El Espino, Boyacá, Colombia"
259,1080259,"Guacamayas, Boyacá, Colombia"
260,1080260,"Güicán, Boyacá, Colombia"
261,1080261,"Panqueba, Boyacá, Colombia"
262,1080262,"Labranzagrande, Boyacá, Colombia"
263,1080263,"Pajarito, Boyacá, Colombia"
264,1080264,"Paya, Boyacá, Colombia"
265,1080265,"Pisba, Boyacá, Colombia"
266,1080266,"Berbeo, Boyacá, Colombia"
267,1080267,"Campohermoso, Boyacá, Colombia"
268,1080268,"Miraflores, Boyacá, Colombia"
269,1080269,"Páez, Boyacá, Colombia"
270,1080270,"San Eduardo, Boyacá, Colombia"
271,1080271,"Zetaquira, Boyacá, Colombia"
272,1080272,"Boyacá, Boyacá, Colombia"
273,1080273,"Ciénega, Boyacá, Colombia"
274,1080274,"Jenesano, Boyacá, Colombia"
275,1080275,"Nuevo Colón, Boyacá, Colombia"
276,1080276,"Ramiriquí, Boyacá, Colombia"
277,1080277,"Rondón, Boyacá, Colombia"
278,1080278,"Tibaná, Boyacá, Colombia"
279,1080279,"Turmequé, Boyacá, Colombia"
280,1080280,"Úmbita, Boyacá, Colombia"
281,1080281,"Viracachá, Boyacá, Colombia"
282,1080282,"Chinavita, Boyacá, Colombia"
283,1080283,"Garagoa, Boyacá, Colombia"
284,1080284,"Macanal, Boyacá, Colombia"
285,1080285,"Pachavita, Boyacá, Colombia"
286,1080286,"San Luis de Gaceno, Boyacá, Colombia"
287,1080287,"Santa María, Boyacá, Colombia"
288,1080288,"Boavita, Boyacá, Colombia"
289,1080289,"Covarachía, Boyacá, Colombia"
290,1080290,"La Uvita, Boyacá, Colombia"
291,1080291,"San Mateo, Boyacá, Colombia"
292,1080292,"Sativanorte, Boyacá, Colombia"
293,1080293,"Sativasur, Boyacá, Colombia"
294,1080294,"Soatá, Boyacá, Colombia"
295,1080295,"Susacón, Boyacá, Colombia"
296,1080296,"Tipacoque, Boyacá, Colombia"
297,1080297,"Briceño, Boyacá, Colombia"
298,1080298,"Buenavista, Boyacá, Colombia"
299,1080299,"Caldas, Boyacá, Colombia"
300,1080300,"Chiquinquirá, Boyacá, Colombia"
301,1080301,"Coper, Boyacá, Colombia"
302,1080302,"La Victoria, Boyacá, Colombia"
303,1080303,"Maripí, Boyacá, Colombia"
304,1080304,"Muzo, Boyacá, Colombia"
305,1080305,"Otanche, Boyacá, Colombia"
306,1080306,"Pauna, Boyacá, Colombia"
307,1080307,"Quípama, Boyacá, Colombia"
308,1080308,"Saboyá, Boyacá, Colombia"
309,1080309,"San Miguel de Sema, Boyacá, Colombia"
310,1080310,"San Pablo de Borbur, Boyacá, Colombia"
311,1080311,"Tununguá, Boyacá, Colombia"
312,1080312,"Almeida, Boyacá, Colombia"
313,1080313,"Chivor, Boyacá, Colombia"
314,1080314,"Guateque, Boyacá, Colombia"
315,1080315,"Guayatá, Boyacá, Colombia"
316,1080316,"La Capilla, Boyacá, Colombia"
317,1080317,"Somondoco, Boyacá, Colombia"
318,1080318,"Sutatenza, Boyacá, Colombia"
319,1080319,"Tenza, Boyacá, Colombia"
320,1080320,"Arcabuco, Boyacá, Colombia"
321,1080321,"Chitaraque, Boyacá, Colombia"
322,1080322,"Gachantivá, Boyacá, Colombia"
323,1080323,"Moniquirá, Boyacá, Colombia"
324,1080324,"Ráquira, Boyacá, Colombia"
325,1080325,"Sáchica, Boyacá, Colombia"
326,1080326,"San José de Pare, Boyacá, Colombia"
327,1080327,"Santa Sofía, Boyacá, Colombia"
328,1080328,"Santana, Boyacá, Colombia"
329,1080329,"Sutamarchán, Boyacá, Colombia"
330,1080330,"Tinjacá, Boyacá, Colombia"
331,1080331,"Togüí, Boyacá, Colombia"
332,1080332,"Villa de Leyva, Boyacá, Colombia"
333,1080333,"Aquitania, Boyacá, Colombia"
334,1080334,"Cuítiva, Boyacá, Colombia"
335,1080335,"Firavitoba, Boyacá, Colombia"
336,1080336,"Gámeza, Boyacá, Colombia"
337,1080337,"Iza, Boyacá, Colombia"
338,1080338,"Mongua, Boyacá, Colombia"
339,1080339,"Monguí, Boyacá, Colombia"
340,1080340,"Nobsa, Boyacá, Colombia"
341,1080341,"Pesca, Boyacá, Colombia"
342,1080342,"Sogamoso, Boyacá, Colombia"
343,1080343,"Tibasosa, Boyacá, Colombia"
344,1080344,"Tópaga, Boyacá, Colombia"
345,1080345,"Tota, Boyacá, Colombia"
346,1080346,"Belén, Boyacá, Colombia"
347,1080347,"Busbanzá, Boyacá, Colombia"
348,1080348,"Cerinza, Boyacá, Colombia"
349,1080349,"Corrales, Boyacá, Colombia"
350,1080350,"Duitama, Boyacá, Colombia"
351,1080351,"Floresta, Boyacá, Colombia"
352,1080352,"Paipa, Boyacá, Colombia"
353,1080353,"Santa Rosa de Viterbo, Boyacá, Colombia"
354,1080354,"Tutazá, Boyacá, Colombia"
355,1080355,"Betéitiva, Boyacá, Colombia"
356,1080356,"Chita, Boyacá, Colombia"
357,1080357,"Jericó, Boyacá, Colombia"
358,1080358,"Paz de Río, Boyacá, Colombia"
359,1080359,"Socha, Boyacá, Colombia"
360,1080360,"Socotá, Boyacá, Colombia"
361,1080361,"Tasco, Boyacá, Colombia"
362,1080362,"Cubará, Boyacá, Colombia"
363,1080363,"Puerto Boyacá, Boyacá, Colombia"
364,1090364,"Filadelfia, Caldas, Colombia"
365,1090365,"La Merced, Caldas, Colombia"
366,1090366,"Marmato, Caldas, Colombia"
367,1090367,"Riosucio, Caldas, Colombia"
368,1090368,"Supía, Caldas, Colombia"
369,1090369,"Manzanares, Caldas, Colombia"
370,1090370,"Marquetalia, Caldas, Colombia"
371,1090371,"Marulanda, Caldas, Colombia"
372,1090372,"Pensilvania, Caldas, Colombia"
373,1090373,"Anserma, Caldas, Colombia"
374,1090374,"Belalcázar, Caldas, Colombia"
375,1090375,"Risaralda, Caldas, Colombia"
376,1090376,"San José, Caldas, Colombia"
377,1090377,"Viterbo, Caldas, Colombia"
378,1090378,"Chinchiná, Caldas, Colombia"
379,1090379,"Manizales, Caldas, Colombia"
380,1090380,"Neira, Caldas, Colombia"
