PlaceId,Name,Phone,Addr,Photos
ChIJF7s7cdQpRI4Rjjsur8Enqkk,The Pit Stop Hostel,(4) 3521176,Cra. 43e #5110,10
ChIJ32-qAtopRI4RAhMS0Qn78y8,Mekatos La 65,,4,0
ChIJV_ho8SkoRI4RIPad4Ks_H9I,Lupe,,Cl. 8a,0
ChIJx2v1JyooRI4RkKlWDMl0T94,Bar Bourbon,,Cra. 40 #9-26,0
ChIJsbL7fykoRI4RGVPtaUDoTtg,zona 10,,Cl. 10 #40-29,0
ChIJGSMP8CkoRI4R9PIv6b0BkZM,Jamrock Bar,,Cra. 37a #37A-13,0
ChIJNwlQASkoRI4RLE2RqbGpVP0,Carmen,(4) 3119625,Cra. 36 #10a-27,10
ChIJU50sCyUoRI4RXRFASyqT-fs,San Carbón,(4) 4447602,Las Lomas,10
ChIJz1IA2NIpRI4ReEvYX4pwVeA,Bar El Solar,,Cra. 48,0
ChIJVVtSkikoRI4RU6e_Cn3uiN0,Basílica,(4) 3117366,Cl. 9 #38,10
ChIJ7Rg1-ykoRI4RFLhuS_ov1UM,Hooters Medellín,(4) 4488440,Cra. 37a #844,10
ChIJ77nAmYKCRo4RhJzA9msoFnU,Restaurante Mistura Provenza,(4) 3225142,Cra. 33 #7-55,10
ChIJtY-BXCooRI4RXsB2lfZfp-8,Morena (The Colombomexicano Museum),301 4611576,Cra. 38 #8-54,10
ChIJebEL-SkoRI4RcXaj3HEEDJU,La Octava Bar,(4) 5831783,Cl. 8 #3749,10
ChIJrZawviooRI4RSzUuHINXVEM,Restaurante Hummus Grill & Wine,(4) 3112656,Cl. 6 #43c12,10
ChIJCe3ifikoRI4RP_Z94x3tVJ8,The Blue Bar,(4) 2663047,Cl. 10,10
ChIJRelu3SkoRI4RVUM4Vd0z8Ok,Inkwell Tinto coffee bar,(4) 5802924,Cra. 43b #10-12,10
ChIJsdK0_yooRI4R3SLRo1_xQQ8,Latineria,,Cl. 9 #43b 17,5
ChIJo0rkBSkoRI4RKoVgJe-QgAQ,Rubor Barra Dance,314 6798104,Cra. 37 #10A-22,0
ChIJjekrsykoRI4R5VqUzoazgCU,Mokana Bar,,Cl 10A #01-115,0
ChIJVXMcLCgoRI4RXngpIqnJQCg,Bogotá Beer Company,(4) 3113060,Cra. 34 #7165,10
ChIJlYYMiIKCRo4RABARTwxAofw,Sindominio Artbar,(4) 3123714,Cra. 35 #730,3
ChIJ6cNCzikoRI4R71Ms2BxVfUg,La flauteria,(4) 3115516,Cra. 35 #8A-39,0
ChIJVdJCyikoRI4Ru-EbiwumVLY,Mojito Salsa Guaracha y Son.,(4) 3125364,Cra. 35 #8 A - 38,8
ChIJWxwBzCkoRI4RJuPtaaE8bbw,Altagracia Café/Bar,(4) 3126877,Cra. 35 #8A-81,10
ChIJWWii0SkoRI4RcaBsPS4kfFU,AltaGracia Café/Bar,(4) 3126877,Cra. 35 #8A-81,10
ChIJd7cWyikoRI4RmauPHhkEEK8,Cubata Bar,300 2429880,Cra. 35 #8A-89,10
ChIJFz1RTigoRI4RucjDiZDThtU,savannah city bar restaurante,(1) 2667461,l 1007,0
ChIJT9CXxCkoRI4RWgx0fHHVU50,heard from,,#8a- a,7
ChIJz93C7SkoRI4ReJF2sB3HdP0,Antiguo Jamrock,,Cra. 36 #8A-53,10
ChIJ-8XP5ikoRI4RbGXZfyvahi4,37 Park,(4) 3115781,Cra. 37 #8A - 4,10
ChIJozGf4ykoRI4RIJvSDLU8ToU,LA CURVA BAR,(4) 3113386,Carrera 37 #8-15,10
ChIJz33pvSkoRI4RHbiK-IGJEbQ,Envy Sushi Bar,(4) 4444968,Cl. 9a #37-16,0
ChIJywXK5CkoRI4REfSaHo6xXCc,La Central Bar,312 7437079,Cra. 37a #8a-28,7
ChIJAa567CkoRI4RKt8qX61DqOM,Chupitos,312 7437079,#8a- a 8a-,10
ChIJz33pvSkoRI4Rp3jsj_c-VNw,Envy rooftop,(4) 4444968,Calle 9a #37-16,10
ChIJzyWglCkoRI4RTfYoXPlHe7E,Basilica,(4) 4487012,Cra. 38 #8a-42,6
ChIJeXm3pikoRI4RQRkGnTuOPGs,BarChiquita,316 7448466,Cra. 37 #10-37,10
ChIJXTeqpikoRI4RSKjD3927Lis,Jenson's Bar,312 8700983,Carrera 37 #10-29,3
ChIJL2Ky_CkoRI4R1CC4nQz0Tis,Pub Rock Lleras,(7) 9790671,Cra. 37a #812,10
ChIJd9Yl_SkoRI4RY19SKQJNgXU,Pa' Entro Fonda Bar,313 5714654,Cra. 37a #70,0
ChIJ0bOJoikoRI4RyEEFnGeDR28,ADDICT SHOTS,319 6435086,Cl. 10 #3741,10
ChIJsVPAkykoRI4Rr9V73br8HNg,ay caramba The original TEX MEX,(4) 4489942,Cl. 9,7
ChIJF4PH85ApRI4Rx5wOlKM1ljU,Holy Shop Fonda,312 7437079,Cra. 38 #842,10
ChIJC2bDKDcoRI4Rn42144DWoxw,SkyBar Medellín,(4) 2664449,Lleras Park Carrera 38 #8-83,10
ChIJtwHN8ikoRI4RMa_dp1c7v-Y,Juan Bala Fonda,312 7437079,Cra. 38 #895,2
ChIJ7cX7jvkoRI4REsqc6fBK74o,Mi Lupe Lleras,301 4611576,#8-59,5
ChIJFRRr-SkoRI4RyCoD4tehKnc,La Clínica,300 2334708,Calle 8 # 37a41,0
ChIJ1Za3mykoRI4R4jQRfeXfnhs,Donde Aquellos,(4) 3122041,Cra. 38 #9A-26,10
ChIJP4WXmykoRI4R9sSs9UE47VM,IWANNA ICE,,Local 102,0
ChIJjddanCkoRI4R4PVyTJnndow,Baren,300 6403999,Cra. 38 #1013,10
ChIJOytA9ikoRI4RggVGQbqwzJo,Donde Su Madre,304 4421130,Cra. 39 #826,4
ChIJUy8S-CkoRI4Rv1hsF6ba-gg,LA CHINGONA,300 2334708,Cra. 39 #7124,10
ChIJBWro5ygoRI4RDykse088WY8,Bruno Forno e Vino,(4) 2663445,Cra. 35 #10b - 33,10
ChIJZw209SkoRI4RQMWUNcp-pIU,Donde Chepe DOS,,a 8-124,0
ChIJSUJ2-CkoRI4RfVfQUpRx2D8,The Medellin Terrace,319 4958218,Cra. 39 #7 - 100,0
ChIJMcnX9ykoRI4RWnS7Xvn4uxY,Hey Bonita Lleras,300 2334708,a 8-123,10
ChIJfRdhiSkoRI4RYjN6Nu_mLg4,Beer Store,(4) 2683056,Esquina Calle 9,5
ChIJ9dyLhikoRI4R1IEZoWSmNOo,Bar Restaurante Divino Cielo,,Cl. 9a #38-90,7
ChIJu6FXgikoRI4RLxASE9Snyas,Midnight Bar,(4) 2681354,Cl. 10 #3855,3
ChIJQZIBZ0woRI4Rg8sDNVGGObI,El Oso Negro,(4) 2621010,Cra. 44a #Calle 33,0
ChIJlS43fpcpRI4RianzCuqodkI,Underground,,Av. 33,2
ChIJueG9G64pRI4R3mM0H_HGaM4,lunalunera medellin,320 6646061,Av. 33 #63b-215,10
ChIJIVN8PAgpRI4RUvzE747ViOw,The Wandering Paisa,(4) 4366759,Cl 44A #68A-76,10
ChIJKeX95a8pRI4R8U_FUdki8z0,NUESTRO BAR,310 5054105,Av. 33 #65B-67,10
ChIJtewMuBEpRI4RfpFTWbVYloI,Viva Discoteca,,Cra. 74 #49B-25,10
ChIJ7V9VR_koRI4RfGZenTbGUoQ,Licorera Nutibara,(4) 5113461,Cl. 52a #50 46,0
ChIJy-nF-JkpRI4RaHGze8ad5i8,ALBENZU Restaurante Bar,(4) 4449921,Cra. 81 #33A-07,10
ChIJmyvuVL0pRI4RiQgK9H-YVSE,Vertigo Bar,(4) 4128990,Av. 33 #76-124,10
ChIJvxLfFRMpRI4RxOTh9wQmhFg,Casa di Mazza,(4) 4487492,Cra. 79 #79-5,10
ChIJt8Fiv5YpRI4Rh29jjitqzQY,Albenzu ® Restaurante - Bar,(4) 4449921,Cra. 81 #32-92,0
ChIJEbyX_qUpRI4RpfaRtVVLXbw,café restaurante bar luna more,,Cq. 2 #C1-21,3
ChIJMU5pUQgpRI4RRNGUGGhfIJE,Fonda Cana Brava,(4) 5826741,Cra. 70 #45E-51,10
ChIJ5WhOmPooRI4RGtYe3tQ6doY,Plazarte Cultural Center,(4) 5867719,Cra. 50 #5932,10
ChIJN0HUwacpRI4RUNpnXEC0fp8,Parche Casa Verde,300 6736321,Cl. 42a #68A-10,1
ChIJEyQii6cpRI4RHY-VEb3qNQo,RESTAURANTE GRAN PLAZA,(4) 2606644,San Juan #68A-51,0
ChIJk08RWKYpRI4RjjfWrrHejq0,Mariachis en Medellin Los Reyes de Mexico Mariachis economicos.,312 8789083,Cq. 3 #6922,10
ChIJPwpQ_KMpRI4RLiivJMq-R3s,Barrio Central Cafe Bar,301 5709107,Cq. 2,10
ChIJcz6896YpRI4ReoxLG84-BIo,BarC2,300 2157700,Cq. 3 #69-39,10
ChIJcRQEfEooRI4R7idY57w49wI,Carboncito Bar,(4) 5061764,Avenida 33 #64 -150,10
ChIJ03xS-aYpRI4RGjxN2g0A5jM,La Tienda de la 70,304 3255426,Cra. 70 #73-28,10
ChIJjfkjCqcpRI4RBdOY7GQ6fNI,Melody for Two,(4) 4443532,Cra. 70 #5-22,10
ChIJsekFFa4pRI4RNHJM4VAdmLA,Mariachi Mexicanisimo,(1) 5969551,Av. 33 #61-33,0
ChIJp2_g-qYpRI4RllOCCEflygo,Bodega de Licores,(4) 4164086,Cra. 70,10
ChIJZwHY8a8pRI4R3Cb8IdMbTEc,TROPICAL COCTAILS LAURELES,,Av. 33 #8044,0
ChIJ5ZtHLQgpRI4RxN1AKGIDKs4,EL CACIQUE BAR,(4) 2601830,Cra. 70 #4434,10
ChIJ-YwS5q0pRI4R874b52SdeHg,KINGS TOWN,300 6134518,Av. 33 #63-99,1
ChIJS1HKZKcpRI4RZPUYmausv30,La Cantina de Pancho,310 3577488,#43- a,0
ChIJl5bAaggpRI4RILvRuVLDDbo,El Tibiri,310 8495461,Cl. 44b #703,1
ChIJ88E0JqUpRI4R08Dv-ra7UCI,Bar 4ta Dimensión,(4) 2653227,B-44 Bulerias,0
ChIJwQ_qLQQpRI4RLCPUEvthiDI,L'arepa,(4) 2608644,Cl. 48d #65 A - 50,0
ChIJ73U_faMpRI4RUXAL3BlENV0,Bikini Cocktails Laureles,300 8280505,a 39a-67,0
ChIJF0WOoaQpRI4R5f40V-ormGM,Samsara Resto Bar,,Tv. 39a #70a28,4
ChIJHb6HqQUpRI4R69B0Y8WobVg,alitacos,311 7788738,Cl. 49b #6711,10
ChIJ59BL_qApRI4RK_WBILwzlBU,Restaurante Mistura Laureles,(4) 3225142,Av 39 d #74 - 62,10
ChIJ7XJmVaApRI4RunBzBByspto,Ay Caramba,(4) 4121716,Cl. 40 #74B-17,10
ChIJGxEKoAMpRI4RBONLNoGQZwg,Eventos y Chef a Domicilio,(4) 5824893,Cl. 52 #64B,0
ChIJzxLlrKEpRI4Rz8P5EsmB6Jc,Mezzaluna salad bar,(4) 3668793,Cq. 74 #39b-93,10
ChIJHyZZLaMpRI4RoTGcxxE4MWE,Santa Bebeta,(4) 4115286,127,1
ChIJ-YSQRwUpRI4RXFM_4kUB0Gk,Cunachos,(4) 2609285,60,0
ChIJC2uIKqMpRI4RcRyxQscwANs,karaoke palmas 33,316 6254456,Av. 33 #74e137,10
ChIJT9gstlUoRI4RfH-4DPvOcU4,Salón Málaga,(4) 2312658,Cra. 51 #45-80,10
ChIJUc8j-Q8pRI4R54MbKasyCTg,Camino Real de México,(4) 5965904,Cra. 70 #50-35,0
ChIJwxPwxFUoRI4RxbF-V2gcgZ4,Universo Rojo,(4) 5118744,Cl. 46 #50-29,7
ChIJUR2Ly6IpRI4Rgn4QuKFqSWE,El Barrilito,320 7123727,Avenida 33 Nº75C-66,8
ChIJL7qVJ_8oRI4R5cVuTratwFw,EL COVACHO,(4) 5116248,Carabobo #51-10 2do piso,2
ChIJo4NYDA4pRI4RLc1MxeCUJMI,Portal Marinillo,(4) 2303939,Cra. 74 #48 B - 23,7
ChIJVevUrKIpRI4RqYC5s6bBvcc,Teres Café Bar,(4) 5585123,Av. 33 #76 - 20,6
ChIJb_Wm2w0pRI4Rlv-0OQpMcew,Hotel Confort Obelisco,(4) 4342367,Cra. 75 #48B-43,2
ChIJwftn_5cpRI4RWJvGNykMbPY,El Grifo Bar,,Av. 33 #76132,0
ChIJlcQn9pcpRI4RfW6EQvDsp6I,LA CANTERA LIQUOR,,Av. 33 #7817,0
ChIJadQL6_goRI4REGkIf-mkwT8,GANA,(4) 4444441,Cl. 51 #49-20,0
ChIJ-z4WHpgpRI4RgHNRR_J9x_E,Tortugos,(4) 5874914,Av. 33 #7860,4
ChIJf6qx-vgoRI4RH4JR7CD7vlU,Friends Club,(4) 5129102,Cra. 49 #5253,0
ChIJW1q74b0pRI4RRULqbfAgHBQ,Simón Parrilla,(4) 2386691,Cra. 76 #32-13,10
ChIJnQG2ivgoRI4RYvQdtkecOjs,Bar Restaurante Hatoviejo Centro,2512196,Cra. 47 #52-17,4
ChIJNYulvpQpRI4R4IlHg1fBW3o,Fonda Discoteca El Tapial,301 3723611,Cra. 81 #28-66,10
ChIJy9jtfZcpRI4Rp4CTKyLxZ1Q,Citrus Bar,(4) 4127394,Av. 33,7
ChIJCcFvVmqFP44RKaGa2Szj6cI,Lancaster House,(1) 6291100,Paralela Autonorte 106B-28,10
ChIJO_5GJ5GaP44R1dWA5h03Ffo,Hotel Movich Chico 97,(6) 3113337,Cra. 11b #97-3,10
ChIJCbP2WfWaP44RXkMkzGltsAo,Andrés DC,(1) 8612233,Calle 82 #12-21 Dentro del centro comercial El Retiro,10
ChIJB-tLPZKaP44RuPSiGej_8Zg,Bardot,314 7976749,Bogotá,0
ChIJCZp6xfSaP44RP4YQ7xqpwFk,Pachanga,,Bogotá,0
ChIJE_a1542aP44RCnaEO4hJuys,Palco 93,,Bogotá,0
ChIJF-rfk7aaP44RM4Zfzhz6TxY,Full 80's 118,(1) 3000586,Kr 19 #118-52,10
ChIJrcVQZ_WaP44Rr0CwNsfTygA,Tresor Lounge Bar,,Cra. 13,0
ChIJFYYLVpGaP44RstPeDwlDUc4,Gaira,(1) 7462696,Cra. 13 #96-11,10
ChIJtdmq6IqaP44RPf1YdCKZGLE,Apolo's Men,(1) 2575443,18,10
ChIJIbiGXvWaP44R9u_YXpWCbS0,Spin,,Cl. 82 #12-84,0
ChIJRUE_HZqaP44R5h_yU2XXGGE,Juan Valdez,(1) 3383838,Ac. 100 #7A-81,9
ChIJY0T30pCaP44RxF6VIydhJ8M,Bar Terraza del Valle,,Ak. 11 #97-31,0
ChIJCZVSevWaP44Ravu0WTrkVTk,Yazta,,Cl. 81 #12-95,0
ChIJySSlvV-aP44RXCAcazD0e9s,Mar De Fondo,,Bogotá,0
ChIJWbh3NPWaP44Rqh_8tZp5wME,The Irish pub,(1) 6918711,Cra. 12a #8348,10
ChIJJfMHBreaP44R5r_xNzWIiOA,Viva Brasil Rodizio,(1) 2137686,Kr 19 #114a27,10
ChIJJXV9BAiQP44Rj_ngrpzkkWc,El Rodizio,,Cl. 119 #5-08,0
ChIJk61CN_WaP44RLE2NnngVnW8,Casa De La Cerveza,(1) 6348910,Zona T,10
ChIJ2QD9kqeaP44RUrDl5aE415A,KATHMANDU,(1) 2133276,Cra. 6 #117-26,10
ChIJ32MxZq2aP44RwhG6OFfo0Bk,Clinica La Carolina,(1) 5681613,Cra. 14 #127-36,2
ChIJ12o91oqaP44Rk6PznLeCoJ8,La Hamburgueseria,(1) 6102001,Calle 85 #12-49,10
ChIJh-LkWvWaP44REqQs27cR4Lc,Tribeca,6912290,Cra. 15 #88-71,9
ChIJ3cBTzbCaP44RidpoCMOwrjs,Beer Station 116,317 5051476,Cl. 116 #1559,10
ChIJiQ1r06iaP44RCQZMLSUzMMg,Tienda de Cafe,(1) 2133118,Cl. 119 #6-16,10
ChIJ7UZv5I2aP44Rck7jbtZeEgU,Gallery Café Book,(1) 2252369,Bogotá,10
ChIJweNVAKiaP44RhzSW8hYiE04,bistronomy,320 4515668,Cra. 6 #119-24,10
ChIJqapO4PSaP44RDhKyQbDwU-4,La Villa,311 4920249,Cra. 14a #83-56,10
ChIJ_5GqPZKaP44RYlgGAwzwA7I,Balche Wine Bar,,Bogotá,0
ChIJ-3NqNvWaP44R_qWzZQD08Ic,Voila,,Cra. 12 #84-12,0
ChIJac7rHwiQP44R7rdMw6o9ZRA,LA PUERTA DE ALCALA,311 5528783,Cl. 118 #5-13,10
ChIJtylzwkOFP44RQdYz-PH1vG0,Bogota Beer Company,(1) 7429292,Avenida 19 #139 – 07,10
ChIJ6-8qwqeaP44Rkkoe2914LYU,The Irish pub,(1) 2134157,Cra. 6a #11745,10
ChIJDwvBZvWaP44RvEqQMJT8tow,Rock Garden Pub,,Cra. 6 #119b,0
ChIJjYdg9o2aP44RiBB4kB_DF8Y,The Red Lion English pub,(1) 6917938,Cra. 12 #9354,5
ChIJdbBi_QeQP44RTfZN9PbOJ-4,Santo Pecado,(1) 6295700,Cra. 5 #119-47,10
ChIJ2XHeV7aaP44RxIXfFqeoSTc,Plaza Mexico,310 5503274,Cl. 116 #18B-80,10
ChIJs8OspfWaP44RxcbT6_Z4KaE,Caf y Crepes,,Cra. 14a #82-16,10
ChIJs_rqWfOaP44RxOZEKq-fgbc,Night Club Extasis,320 4582914,Ac. 85 #15-30,0
ChIJI5n631uaP44RPUKMBXFCT7o,Revolution Bar,,Cll 74,10
ChIJuzzq842aP44R-yJORcORx3w,La Xarcuteria 93,(1) 6165538,Cra. 12 #93-43,10
ChIJvYxbLI2aP44Rm0CKDEvgVik,Cavu Club,310 2703999,Bogotá,3
ChIJi_wiXLaaP44RIVIoKFgVAy4,Jawa,(1) 2137486,Cl. 118 #20-51,3
ChIJ06gFt_SaP44ROPxZd0ZyftY,El Df,,Bogotá,0
ChIJZdaBzrCaP44RakmnePDtXFk,Cantares,310 2119219,Cra. 17a #116 - 39,10
ChIJETiFc5KaP44RW4RQZU7zEj4,Tekila,,Bogotá,0
ChIJxRfB5_SaP44RtdYfu4Xht5k,Simona,301 3717252,Cl. 84 Bis,10
ChIJxSZJ1oqaP44RgImEbNQ7Jik,EL MOZO,313 4229260,Calle 85 #12-51,10
ChIJoympgJaaP44RQLu9rNd9yt8,Clover Pub Restaurante,(1) 5202966,A 89,0
ChIJsWCjc5KaP44R78FbkzV_p9U,La Leyenda,313 4530987,Bogotá,10
ChIJKa6C54qaP44RAbcLbK_dr3M,Khromatiko Lounge,,Cra. 12 #84-12,0
ChIJvRBgJfWaP44RjBa4RZpbwv0,Santa Bar,,Cl. 82 #12-84,0
ChIJOQUQFPWaP44RZ0TRwyU5jz8,Music Factory,,Cra. 12 #84-12,0
ChIJCSWIIvWaP44R2TAO7GIBz0Y,El Cutre,321 3810797,Carrera 14 # 83 - 08,0
ChIJj8sNzoqaP44RwTN0kezrCQc,Coconuts,,Cra. 12 #84-12,0
ChIJJwwjvpOaP44RPNhY_eI5gZU,yeira lunch & drinks,(1) 6917021,94,0
ChIJqZcUDbeaP44RD_mh_2mQAig,SHAMUA,(1) 2142691,Kr 19 #114-70,10
